"name","Signature","value","injection","method"
"029_DC_T","SBS88",0,"adenoma","Crypt"
"030_CE_T","SBS88",0,"adenoma","Crypt"
"031_RE_T","SBS88",0.0333306271762511,"adenoma","Crypt"
"058_RE_T","SBS88",0.00187543329335785,"normal","Crypt"
"103_RE","SBS88",0.0526898429348631,"normal","Crypt"
"116_RE_T","SBS88",0.128471034486742,"adenoma","Crypt"
"116_TR","SBS88",0,"adenoma","Crypt"
"12b_D12_84_TR","SBS88",0,"adenoma","Crypt"
"148_SI","SBS88",0.133957360983582,"normal","Crypt"
"17_27AS","SBS88",0,"normal","Crypt"
"18_27RE","SBS88",0.0233659188728992,"normal","Crypt"
"19_27TR","SBS88",0,"normal","Crypt"
"20_40DC","SBS88",0,"normal","Crypt"
"21_116CE","SBS88",0,"adenoma","Crypt"
"22_76TR","SBS88",0,"adenoma","Crypt"
"23_180RE","SBS88",0.110800849546924,"normal","Crypt"
"24_130DC","SBS88",0.00650255382857838,"normal","Crypt"
"27_CE","SBS88",0,"normal","Crypt"
"27_DC","SBS88",0,"normal","Crypt"
"29_74TR","SBS88",0,"adenoma","Crypt"
"29_CE","SBS88",0,"adenoma","Crypt"
"30_130RE","SBS88",0.0255652654839928,"normal","Crypt"
"30_TR","SBS88",0.00832818250285718,"adenoma","Crypt"
"32_29TR","SBS88",0,"adenoma","Crypt"
"33_130AS","SBS88",0,"normal","Crypt"
"40_AS","SBS88",0,"normal","Crypt"
"58_DC","SBS88",0.000726732199431656,"normal","Crypt"
"58_TR","SBS88",0.0492852888986765,"normal","Crypt"
"74_DC","SBS88",0.0219847650748359,"adenoma","Crypt"
"A1__031_AS","SBS88",0,"adenoma","Crypt"
"A10__180_DC","SBS88",0,"normal","Crypt"
"A13__148_AS","SBS88",0,"normal","Crypt"
"A15__180_TR","SBS88",0,"normal","Crypt"
"A16__084_CE","SBS88",0,"adenoma","Crypt"
"A2__148_CE","SBS88",0.0194407092527479,"normal","Crypt"
"A5__074_AS","SBS88",0,"adenoma","Crypt"
"A6__103_CE","SBS88",0,"normal","Crypt"
"A7__116_DC","SBS88",0,"adenoma","Crypt"
"A8__093_SI","SBS88",0,"adenoma","Crypt"
"A9_09_CE","SBS88",0,"normal","Crypt"
