"sample","n_with_gene","driver_genes"
"029_DC_T",0,NA
"030_CE_T",0,NA
"031_RE_T",0,NA
"058_RE_T",0,NA
"103_RE",0,NA
"116_RE_T",0,NA
"116_TR",0,NA
"12b_D12_84_TR",0,NA
"148_SI",0,NA
"17_27AS",0,NA
"18_27RE",0,NA
"19_27TR",0,NA
"20_40DC",0,NA
"21_116CE",0,NA
"22_76TR",0,NA
"23_180RE",0,NA
"24_130DC",0,NA
"27_CE",0,NA
"27_DC",0,NA
"29_74TR",1,"FBXW7"
"29_CE",0,NA
"30_130RE",0,NA
"30_TR",0,NA
"32_29TR",0,NA
"33_130AS",2,"PIK3CA;ATM"
"40_AS",2,"FBXW7;TCF7L2"
"58_DC",0,NA
"58_TR",0,NA
"74_DC",0,NA
"A1__031_AS",0,NA
"A10__180_DC",1,"TP53"
"A13__148_AS",0,NA
"A15__180_TR",0,NA
"A16__084_CE",1,"ATM"
"A2__148_CE",0,NA
"A5__074_AS",0,NA
"A6__103_CE",0,NA
"A7__116_DC",0,NA
"A8__093_SI",0,NA
"A9_09_CE",0,NA
"B1_115_SI",0,NA
"B10_058_CE",1,"FAT4"
"B12_180_AS",2,"BRAF;TCF7L2"
"B13_148_DC",0,NA
"B14_031_CE",1,"FAT4"
"B15_148_RE",0,NA
"B17_277_DC",0,NA
"B18_115_TC",0,NA
"B19_277_TC",0,NA
"B2_116_RE",1,"TP53"
"B20_273_CE",0,NA
"B21_153_CE",0,NA
"B22_93_TR",1,"FAT4"
"B23_153_RE",0,NA
"B26_115_DC",1,"FAT4"
"B27_116_AS",0,NA
"B28_31_TR",0,NA
"B29_09_AS",1,"FAT4"
"B3_084_DC",1,"TP53"
"B32_93_AS",1,"FAT4"
"B33_153_AS",0,NA
"B35_130_TR",1,"BRAF"
"B38_180_SI",0,NA
"B39_277_CE",2,"FAT4;BRAF"
"B4_076_SI",1,"BRAF"
"B41_277_AC",0,NA
"B42_277_RTM",1,"FAT4"
"B43_273_AS",1,"FAT4"
"B44_273_TR",0,NA
"B45_273_SI",0,NA
"B46_273_DE",2,"FAT4;BRAF"
"B47_273_RE",0,NA
"B5_031_RE",0,NA
"B6_153_SI",0,NA
"B7_030_DC",0,NA
"B8_103_SI",0,NA
"B9_115_RE",1,"FBXW7"
"C1_103_TR",0,NA
"C10_93_CE",0,NA
"C14_115_TR",0,NA
"C15_277_TR",2,"TCF7L2"
"C16_180_CE",0,NA
"C17_93_AS",1,"APC"
"C18_277_DE",3,"FBXW7;BRAF"
"C22_19_SI",0,NA
"C24_31_TR",1,"TP53"
"C3_103_DE",0,NA
"C5_148_TR",0,NA
"C6_153_RE",0,NA
"D10_030_RE",0,NA
"D11_153_DE",0,NA
"D12_058_SI",0,NA
"D13_076_RE",0,NA
"D14_074_RE",0,NA
"D15_277_SI",0,NA
"D15b_277_SI",0,NA
"D16_040_SI",0,NA
"D17_130_CE",0,NA
"D18_153_TR",1,"FAT4"
"D2_09_TR",1,"FAT4"
"D20_153_SI",0,NA
"D24_093_RE",0,NA
"D25_029_RE",0,NA
"D26_084_SI",0,NA
"D27_074_SI",0,NA
"D29_030_AS",1,"FAT4"
"D30_029_AS",1,"FBXW7"
"D31_031_DE",0,NA
"D32_076_CE",0,NA
"D33_076_DE",0,NA
"D4_19_TR",0,NA
"D6_84_RE",0,NA
"D7_40_RE",1,"FAT4"
"D8_076_AS",0,NA
"D9_084_AS",0,NA
"HLS_1C_30_B5",0,NA
"HLS_1C_30_D5",0,NA
"HLS_1C_30_G5",0,NA
"HLS_1C_30_H5",1,"BRAF"
"HLS_2C_30_D6",2,"FAT4;ATM"
"HLS_2C_30_E6",0,NA
"Laurel-1",1,"BRAF"
"Laurel-10",0,NA
"Laurel-11",0,NA
"Laurel-12",0,NA
"Laurel-2",0,NA
"Laurel-3",0,NA
"Laurel-5",0,NA
"Laurel-6",0,NA
"Laurel-7",1,"ATM"
"Laurel-8",1,"FAT4"
"PD28690bx_2_a5",0,NA
"PD28690bx_2_d5",0,NA
"PD28690cb_2_g1",0,NA
"PD28690cb_2_g3",1,"FBXW7"
"PD28690cb_2_h1",0,NA
"PD28690cb_2_h3",2,"FAT4;BRAF"
"PD34199a_c17",0,NA
"PD34199a_c22",1,"FAT4"
"PD34199a_c27",0,NA
"PD34199a_c28",0,NA
"PD34199a_c3",0,NA
"PD34199a_c31",0,NA
"PD34199a_c5",0,NA
"PD34199a_c7",0,NA
"PD34199a_s13",0,NA
"PD34199a_s16",0,NA
"PD34199a_s2",0,NA
"PD34199a_s27",0,NA
"PD34199a_s31",0,NA
"PD34199a_s4",0,NA
"PD34199a_t14",1,"FAT4"
"PD34199a_t16",0,NA
"PD34199a_t18",0,NA
"PD34199a_t22",0,NA
"PD34199a_t24",0,NA
"PD34199a_t28",0,NA
"PD34199a_t31",0,NA
"PD34202a_s12",0,NA
"PD34202a_s15",0,NA
"PD34202a_s27",0,NA
"PD34202a_s41",0,NA
"PD34202a_s43",0,NA
"PD34202a_s9",0,NA
"PD36719a_lo005",0,NA
"PD36719a_lo008",0,NA
"PD36719a_lo018",0,NA
"PD36719a_lo022",0,NA
"PD36719a_lo034",0,NA
"PD36719a_lo048",1,"BRAF"
"PD36719a_lo049",0,NA
"PD36719a_lo066",0,NA
"PD36719a_lo072",1,"FBXW7"
"PD36813aa",0,NA
"PD36813aa11",1,"FAT4"
"PD36813aa12",0,NA
"PD36813aa16",0,NA
"PD36813aa2",0,NA
"PD36813aa7",1,"FAT4"
"PD36813ab10",0,NA
"PD36813ab4",0,NA
"PD36813ab5",1,"FAT4"
"PD36813ac15",0,NA
"PD36813ac18",0,NA
"PD36813ac2",0,NA
"PD36813ac4",0,NA
"PD36813ac7",0,NA
"PD36813ad17",0,NA
"PD36813ad2",0,NA
"PD36813ad8",0,NA
"PD36813ad9",1,"BRAF"
"PD36813ae",0,NA
"PD36813ae3",0,NA
"PD36813ae7",2,"BRAF;TCF7L2"
"PD36813b4",0,NA
"PD36813b5",2,"FBXW7;APC"
"PD36813b6",0,NA
"PD36813c",0,NA
"PD36813c2",0,NA
"PD36813c3",1,"FAT4"
"PD36813d3",0,NA
"PD36813d5",0,NA
"PD36813e",0,NA
"PD36813e5",1,"FAT4"
"PD36813e6",2,"PIK3CA;ATM"
"PD36813g2",0,NA
"PD36813g4",0,NA
"PD36813h",0,NA
"PD36813h3",0,NA
"PD36813h5",1,"FAT4"
"PD36813i",0,NA
"PD36813i4",0,NA
"PD36813i6",1,"TCF7L2"
"PD36813j",0,NA
"PD36813j3",0,NA
"PD36813j6",0,NA
"PD36813k",1,"FAT4"
"PD36813k3",1,"BRAF"
"PD36813k5",0,NA
"PD36813l",0,NA
"PD36813l7",0,NA
"PD36813l8",1,"FAT4"
"PD36813m3",0,NA
"PD36813m5",0,NA
"PD36813m8",0,NA
"PD36813n",0,NA
"PD36813o2",1,"TCF7L2"
"PD36813o9",0,NA
"PD36813p",0,NA
"PD36813q11",0,NA
"PD36813q14",0,NA
"PD36813r12",0,NA
"PD36813r14",0,NA
"PD36813s12",1,"BRAF"
"PD36813t20",0,NA
"PD36813u2",0,NA
"PD36813v4",0,NA
"PD36813x15",0,NA
"PD36813x16",0,NA
"PD36813y13",0,NA
"PD36813y15",0,NA
